name,state,weather
Maclovio Rojas,Baja California,"[{'day': '5/30', 'low_temp': 54, 'high_temp': 67}, {'day': '5/31', 'low_temp': 54, 'high_temp': 67}, {'day': '6/1', 'low_temp': 55, 'high_temp': 67}, {'day': '6/2', 'low_temp': 54, 'high_temp': 68}, {'day': '6/3', 'low_temp': 53, 'high_temp': 67}, {'day': '6/4', 'low_temp': 57, 'high_temp': 69}, {'day': '6/5', 'low_temp': 58, 'high_temp': 70}, {'day': '6/6', 'low_temp': 55, 'high_temp': 69}, {'day': '6/7', 'low_temp': 56, 'high_temp': 71}, {'day': '6/8', 'low_temp': 55, 'high_temp': 70}]"
Lomas de Santa Anita,Baja California,"[{'day': '5/30', 'low_temp': 53, 'high_temp': 80}, {'day': '5/31', 'low_temp': 52, 'high_temp': 78}, {'day': '6/1', 'low_temp': 51, 'high_temp': 78}, {'day': '6/2', 'low_temp': 50, 'high_temp': 78}, {'day': '6/3', 'low_temp': 52, 'high_temp': 76}, {'day': '6/4', 'low_temp': 56, 'high_temp': 81}, {'day': '6/5', 'low_temp': 51, 'high_temp': 83}, {'day': '6/6', 'low_temp': 49, 'high_temp': 79}, {'day': '6/7', 'low_temp': 50, 'high_temp': 81}, {'day': '6/8', 'low_temp': 49, 'high_temp': 80}]"
Lázaro Cárdenas,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 71}, {'day': '5/31', 'low_temp': 56, 'high_temp': 71}, {'day': '6/1', 'low_temp': 56, 'high_temp': 71}, {'day': '6/2', 'low_temp': 57, 'high_temp': 72}, {'day': '6/3', 'low_temp': 55, 'high_temp': 70}, {'day': '6/4', 'low_temp': 57, 'high_temp': 71}, {'day': '6/5', 'low_temp': 60, 'high_temp': 73}, {'day': '6/6', 'low_temp': 60, 'high_temp': 79}, {'day': '6/7', 'low_temp': 59, 'high_temp': 77}, {'day': '6/8', 'low_temp': 60, 'high_temp': 78}]"
Las Delicias,Baja California,"[{'day': '5/30', 'low_temp': 54, 'high_temp': 67}, {'day': '5/31', 'low_temp': 54, 'high_temp': 67}, {'day': '6/1', 'low_temp': 55, 'high_temp': 67}, {'day': '6/2', 'low_temp': 54, 'high_temp': 68}, {'day': '6/3', 'low_temp': 53, 'high_temp': 67}, {'day': '6/4', 'low_temp': 57, 'high_temp': 69}, {'day': '6/5', 'low_temp': 58, 'high_temp': 70}, {'day': '6/6', 'low_temp': 55, 'high_temp': 69}, {'day': '6/7', 'low_temp': 56, 'high_temp': 71}, {'day': '6/8', 'low_temp': 55, 'high_temp': 70}]"
La Joya,Baja California,"[{'day': '5/30', 'low_temp': 54, 'high_temp': 67}, {'day': '5/31', 'low_temp': 54, 'high_temp': 67}, {'day': '6/1', 'low_temp': 55, 'high_temp': 67}, {'day': '6/2', 'low_temp': 54, 'high_temp': 68}, {'day': '6/3', 'low_temp': 53, 'high_temp': 67}, {'day': '6/4', 'low_temp': 57, 'high_temp': 69}, {'day': '6/5', 'low_temp': 58, 'high_temp': 70}, {'day': '6/6', 'low_temp': 55, 'high_temp': 69}, {'day': '6/7', 'low_temp': 56, 'high_temp': 71}, {'day': '6/8', 'low_temp': 55, 'high_temp': 70}]"
Ensenada,Baja California,"[{'day': '5/30', 'low_temp': 52, 'high_temp': 71}, {'day': '5/31', 'low_temp': 53, 'high_temp': 71}, {'day': '6/1', 'low_temp': 54, 'high_temp': 72}, {'day': '6/2', 'low_temp': 51, 'high_temp': 70}, {'day': '6/3', 'low_temp': 51, 'high_temp': 69}, {'day': '6/4', 'low_temp': 54, 'high_temp': 71}, {'day': '6/5', 'low_temp': 48, 'high_temp': 74}, {'day': '6/6', 'low_temp': 51, 'high_temp': 79}, {'day': '6/7', 'low_temp': 52, 'high_temp': 81}, {'day': '6/8', 'low_temp': 51, 'high_temp': 80}]"
Emiliano Zapata,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 72}, {'day': '5/31', 'low_temp': 56, 'high_temp': 71}, {'day': '6/1', 'low_temp': 57, 'high_temp': 72}, {'day': '6/2', 'low_temp': 57, 'high_temp': 72}, {'day': '6/3', 'low_temp': 55, 'high_temp': 70}, {'day': '6/4', 'low_temp': 58, 'high_temp': 71}, {'day': '6/5', 'low_temp': 59, 'high_temp': 72}, {'day': '6/6', 'low_temp': 59, 'high_temp': 82}, {'day': '6/7', 'low_temp': 58, 'high_temp': 81}, {'day': '6/8', 'low_temp': 59, 'high_temp': 82}]"
El Sauzal de Rodríguez,Baja California,"[{'day': '5/30', 'low_temp': 52, 'high_temp': 73}, {'day': '5/31', 'low_temp': 53, 'high_temp': 73}, {'day': '6/1', 'low_temp': 53, 'high_temp': 74}, {'day': '6/2', 'low_temp': 51, 'high_temp': 71}, {'day': '6/3', 'low_temp': 51, 'high_temp': 70}, {'day': '6/4', 'low_temp': 54, 'high_temp': 72}, {'day': '6/5', 'low_temp': 48, 'high_temp': 75}, {'day': '6/6', 'low_temp': 52, 'high_temp': 81}, {'day': '6/7', 'low_temp': 52, 'high_temp': 82}, {'day': '6/8', 'low_temp': 51, 'high_temp': 82}]"
El Refugio,Baja California,"[{'day': '5/30', 'low_temp': 54, 'high_temp': 67}, {'day': '5/31', 'low_temp': 54, 'high_temp': 67}, {'day': '6/1', 'low_temp': 55, 'high_temp': 67}, {'day': '6/2', 'low_temp': 54, 'high_temp': 68}, {'day': '6/3', 'low_temp': 53, 'high_temp': 67}, {'day': '6/4', 'low_temp': 57, 'high_temp': 69}, {'day': '6/5', 'low_temp': 58, 'high_temp': 70}, {'day': '6/6', 'low_temp': 55, 'high_temp': 69}, {'day': '6/7', 'low_temp': 56, 'high_temp': 71}, {'day': '6/8', 'low_temp': 55, 'high_temp': 70}]"
El Niño,Baja California,"[{'day': '5/30', 'low_temp': 53, 'high_temp': 80}, {'day': '5/31', 'low_temp': 52, 'high_temp': 78}, {'day': '6/1', 'low_temp': 51, 'high_temp': 78}, {'day': '6/2', 'low_temp': 50, 'high_temp': 78}, {'day': '6/3', 'low_temp': 52, 'high_temp': 76}, {'day': '6/4', 'low_temp': 56, 'high_temp': 81}, {'day': '6/5', 'low_temp': 51, 'high_temp': 83}, {'day': '6/6', 'low_temp': 49, 'high_temp': 79}, {'day': '6/7', 'low_temp': 50, 'high_temp': 81}, {'day': '6/8', 'low_temp': 49, 'high_temp': 80}]"
